true_cwe,TruePositiveRate,TrueNegativeRate,FalsePositiveRate,FalseNegativeRate
CWE-119,0.8461538461538461,0.5384615384615384,0.4615384615384615,0.1538461538461538
CWE-125,0.4615384615384615,0.5128205128205128,0.4871794871794871,0.5384615384615384
CWE-190,0.4444444444444444,0.7777777777777778,0.2222222222222222,0.5555555555555556
CWE-20,0.4545454545454545,0.2727272727272727,0.7272727272727273,0.5454545454545454
CWE-22,0.1666666666666666,0.2,0.8,0.8333333333333334
CWE-269,0.5,0.25,0.75,0.5
CWE-276,0.5,0.0,1.0,0.5
CWE-362,0.625,0.5,0.5,0.375
CWE-416,0.6842105263157895,0.5263157894736842,0.4736842105263157,0.3157894736842105
CWE-434,0.0,1.0,0.0,0.0
CWE-476,0.5,0.5882352941176471,0.4117647058823529,0.5
CWE-787,0.5263157894736842,0.5789473684210527,0.4210526315789473,0.4736842105263157
CWE-79,0.5,1.0,0.0,0.5
CWE-862,1.0,1.0,0.0,0.0
CWE-863,0.0,0.0,1.0,1.0
CWE-94,0.0,0.0,1.0,1.0
